 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
1082442800000.0,75.0,-1067911300000.0,1.0,1083796500000.0,0.0,1083151600000.0,0.0,1080512150000.0,1083418540000.0,1082258950000.0,1080352440000.0,1080952550000.0,0.0,0.0,26666.666,75.0,0.0,75.0,1080719700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1073793600000.0,-1073158200000.0,1071720560000.0,-1073391340000.0,1085082100000.0,32.0,13333.333,1081420100000.0,1079099800000.0,1084022460000.0,1083262440000.0,1081444100000.0,0.0,-1072924700000.0,-1074440300000.0,1072736000000.0,1073567000000.0,1074577540000.0,1071561800000.0,1072758700000.0,1072457200000.0,-1072375460000.0,0.0,0.0,0.0,1086030000000.0,-1072541600000.0,1073970350000.0,-1073200400000.0,1073607400000.0,-1072088150000.0,-1073091700000.0,1.0,0.0,-1068528040000.0,0.0,1078286100000.0,247.0,-1072737300000.0,32.0,0.0,0.0,1078890460000.0,0.0,0.0,0.0,0.0,0.0
1123592200000.0,8939937.0,-1108508300000.0,15.0,1124997400000.0,188.0,1124328000000.0,0.0,1121588100000.0,1124604800000.0,1123401300000.0,1121422300000.0,1122045300000.0,14.54975,33.781,2.6845827,388692.9,1018253.25,3389958.0,1121803600000.0,6445994.0,805749.25,1494564.2,3436040.0,246.0,8939817.0,638558.4,1258109.9,3389958.0,1.0,-1114614300000.0,-1113954700000.0,1112462500000.0,-1114196700000.0,1126331800000.0,488.0,1.0067185,1122530500000.0,1120122000000.0,1125231900000.0,1124443000000.0,1122555500000.0,167.74333,-1113712100000.0,-1115285500000.0,1113516400000.0,1114378900000.0,1115428000000.0,1112297400000.0,1113539900000.0,1113227000000.0,-1113142100000.0,12.583333,12.666667,12.533334,1127315700000.0,-1113314600000.0,1114797800000.0,-1113998500000.0,1114421000000.0,-1112843900000.0,-1113885600000.0,9.0,114.0,-1109148600000.0,188.0,1119277400000.0,227.0,-1113517900000.0,32.0,0.0,0.0,1119904700000.0,0.0,0.0,0.0,0.0,0.0
1337788200000.0,9320804.0,-1319828600000.0,15.0,1339461200000.0,188.0,1338664300000.0,0.0,1335402000000.0,1338993900000.0,1337560900000.0,1335204500000.0,1335946400000.0,14.54975,30.791336,2.5748851,405252.34,1055753.0,3297098.0,1335658500000.0,6092661.0,761582.6,1416982.0,3344168.0,3.0,9320679.0,665762.8,1303651.5,3297098.0,3.0,-1327098500000.0,-1326313400000.0,1324536600000.0,-1326601500000.0,1341050000000.0,488.0,0.96558195,1336524100000.0,1333656400000.0,1339740400000.0,1338801100000.0,1336553900000.0,154.26,-1326024800000.0,-1327897800000.0,1325791400000.0,1326818400000.0,1328067500000.0,1324340200000.0,1325819600000.0,1325446700000.0,-1325346000000.0,11.958333,11.0,12.533334,1342221600000.0,-1325551300000.0,1327317100000.0,-1326365500000.0,1326868500000.0,-1324990900000.0,-1326231200000.0,9.0,99.0,-1320590900000.0,188.0,1332651000000.0,227.0,-1325793100000.0,32.0,0.0,0.0,1333397700000.0,0.0,0.0,0.0,0.0,0.0
1351643600000.0,79.0,-1333498200000.0,1.0,1353334000000.0,0.0,1352528800000.0,0.0,1349232800000.0,1352862000000.0,1351414200000.0,1349033400000.0,1349782900000.0,0.0,0.0,25316.455,79.0,0.0,79.0,1349491900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1340843500000.0,-1340050000000.0,1338254800000.0,-1340341200000.0,1354939400000.0,32.0,12658.228,1350366500000.0,1347469200000.0,1353616200000.0,1352667000000.0,1350396500000.0,0.0,-1339758300000.0,-1341650900000.0,1339522700000.0,1340560400000.0,1341822300000.0,1338056500000.0,1339551100000.0,1339174600000.0,-1339072600000.0,0.0,0.0,0.0,1356123100000.0,-1339280000000.0,1341064100000.0,-1340102700000.0,1340610800000.0,-1338714000000.0,-1339967000000.0,1.0,0.0,-1334268300000.0,0.0,1346453100000.0,257.0,-1339524400000.0,32.0,0.0,0.0,1347207800000.0,0.0,0.0,0.0,0.0,0.0
1163162600000.0,3.0,-1147547400000.0,0.0,1164617200000.0,0.0,1163924200000.0,0.0,1161087800000.0,1164210900000.0,1162964900000.0,1160916200000.0,1161561100000.0,0.0,4666666.5,666666.7,3.0,0.0,3.0,1161310900000.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-1153868200000.0,-1153185600000.0,1151640800000.0,-1153436000000.0,1165998700000.0,0.0,666666.7,1162063400000.0,1159570100000.0,1164859900000.0,1164043400000.0,1162089300000.0,65.333336,-1152934600000.0,-1154563200000.0,1152731800000.0,1153624700000.0,1154710800000.0,1151469900000.0,1152756200000.0,1152432200000.0,-1152344400000.0,14.0,7.0,0.0,1167017100000.0,-1152522900000.0,1154058300000.0,-1153230800000.0,1153668200000.0,-1152035700000.0,-1153114200000.0,2.0,14.0,-1148210100000.0,0.0,1158695900000.0,-1.0,-1152733300000.0,32.0,0.0,0.0,1159345300000.0,0.0,0.0,0.0,0.0,0.0
1123348000000.0,13213812.0,-1108267200000.0,33.0,1124753000000.0,2745.0,1124083700000.0,0.0,1121344300000.0,1124360400000.0,1123157100000.0,1121178600000.0,1121801500000.0,217.28574,359.69937,4.1623116,244700.22,662718.3,2464170.0,1121559800000.0,11300000.0,540354.5,956302.0,2513084.0,527.0,13200000.0,412929.53,824466.94,2464170.0,3.0,-1114371900000.0,-1113712500000.0,1112220600000.0,-1113954500000.0,1126087000000.0,1064.0,1.6649245,1122286700000.0,1119878600000.0,1124987300000.0,1124198500000.0,1122311500000.0,34909.06,-1113470100000.0,-1115043100000.0,1113274300000.0,1114136600000.0,1115185500000.0,1112055600000.0,1113297900000.0,1112984900000.0,-1112900100000.0,86.41818,91.27273,83.181816,1127070700000.0,-1113072700000.0,1114555400000.0,-1113756300000.0,1114178800000.0,-1112602000000.0,-1113643500000.0,22.0,2008.0,-1108907400000.0,2745.0,1119034300000.0,247.0,-1113275800000.0,32.0,0.0,0.0,1119661500000.0,0.0,0.0,0.0,0.0,0.0
1357998500000.0,12486435.0,-1339767500000.0,32.0,1359696800000.0,2745.0,1358887600000.0,0.0,1355576200000.0,1359222400000.0,1357767800000.0,1355375800000.0,1356128800000.0,220.24059,380.65308,4.244606,240123.75,653390.6,2475830.0,1355836600000.0,10800000.0,537739.5,954508.4,2532504.0,624.0,12500000.0,402786.34,811265.5,2475830.0,4.0,-1347147400000.0,-1346350400000.0,1344546800000.0,-1346642600000.0,1361309600000.0,1032.0,1.6818252,1356715300000.0,1353804400000.0,1359980300000.0,1359026600000.0,1356745400000.0,35944.473,-1346057100000.0,-1347958700000.0,1345820600000.0,1346863000000.0,1348130800000.0,1344347300000.0,1345848900000.0,1345470700000.0,-1345368200000.0,89.679245,95.61905,85.78125,1362498800000.0,-1345576800000.0,1347369000000.0,-1346403000000.0,1346913800000.0,-1345007900000.0,-1346266900000.0,21.0,2008.0,-1340541200000.0,2745.0,1352783400000.0,247.0,-1345822100000.0,32.0,0.0,0.0,1353541700000.0,0.0,0.0,0.0,0.0,0.0
1025447170000.0,41.0,-1011680900000.0,1.0,1026729700000.0,0.0,1026118800000.0,0.0,1023618300000.0,1026371400000.0,1025273040000.0,1023466860000.0,1024035400000.0,0.0,0.0,48780.49,41.0,0.0,41.0,1023814800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1017253460000.0,-1016651600000.0,1015289700000.0,-1016872400000.0,1027947560000.0,32.0,24390.244,1024478350000.0,1022280200000.0,1026943700000.0,1026223700000.0,1024501100000.0,0.0,-1016430260000.0,-1017866100000.0,1016251400000.0,1017038640000.0,1017996100000.0,1015139100000.0,1016272900000.0,1015987300000.0,-1015910000000.0,0.0,0.0,0.0,1028845540000.0,-1016067460000.0,1017420900000.0,-1016691400000.0,1017077100000.0,-1015637740000.0,-1016588530000.0,1.0,0.0,-1012265100000.0,0.0,1021509400000.0,247.0,-1016252700000.0,32.0,0.0,0.0,1022082000000.0,0.0,0.0,0.0,0.0,0.0
1094122860000.0,4.0,-1079434700000.0,0.0,1095491200000.0,0.0,1094839440000.0,0.0,1092171400000.0,1095109100000.0,1093937100000.0,1092009900000.0,1092616600000.0,0.0,3500000.0,500000.0,4.0,0.0,4.0,1092381200000.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-1085380300000.0,-1084738100000.0,1083285000000.0,-1084973800000.0,1096790700000.0,0.0,500000.0,1093089100000.0,1090743800000.0,1095719650000.0,1094951300000.0,1093113400000.0,65.333336,-1084502050000.0,-1086034000000.0,1084311340000.0,1085151250000.0,1086172800000.0,1083124350000.0,1084334300000.0,1084029530000.0,-1083946960000.0,14.0,7.0,0.0,1097748840000.0,-1084115000000.0,1085559000000.0,-1084780840000.0,1085192300000.0,-1083656500000.0,-1084670940000.0,2.0,14.0,-1080057900000.0,0.0,1089921300000.0,-1.0,-1084312700000.0,32.0,0.0,0.0,1090532200000.0,0.0,0.0,0.0,0.0,0.0
1177848900000.0,9295458.0,-1162036600000.0,15.0,1179321900000.0,188.0,1178620300000.0,0.0,1175748100000.0,1178910600000.0,1177648900000.0,1175574300000.0,1176227300000.0,14.54975,31.520771,2.581906,404150.34,1049958.5,3294401.0,1175973900000.0,6135965.0,766995.6,1420256.4,3338353.0,3.0,9295409.0,663957.8,1296098.1,3294401.0,49.0,-1168437400000.0,-1167746100000.0,1166181700000.0,-1167999600000.0,1180721000000.0,488.0,0.9682148,1176736100000.0,1174211300000.0,1179567800000.0,1178740700000.0,1176762200000.0,159.96,-1167491900000.0,-1169141000000.0,1167286500000.0,1168190700000.0,1169290400000.0,1166008800000.0,1167311200000.0,1166983200000.0,-1166894200000.0,12.208333,11.666667,12.533334,1181752200000.0,-1167075000000.0,1168629700000.0,-1167791900000.0,1168234800000.0,-1166581700000.0,-1167673500000.0,9.0,105.0,-1162707700000.0,188.0,1173325900000.0,227.0,-1167287900000.0,32.0,0.0,0.0,1173983500000.0,0.0,0.0,0.0,0.0,0.0
