 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
22.0,75.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26666.666,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,13333.333,13333.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,259.0,247.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,8939937.0,9.0,15.0,114.0,188.0,29.0,0.0,12.666667,10.665364,34.0,0.0,12.533334,14.54975,33.781,2.6845827,388692.9,1018253.25,3389958.0,1.0,6445994.0,805749.25,1494564.2,3436040.0,246.0,8939817.0,638558.4,1258109.9,3389958.0,1.0,0.0,0.0,0.0,0.0,296.0,488.0,1.0067185,1.6778642,0.0,34.0,12.08,12.951576,167.74333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.583333,12.666667,12.533334,296.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,114.0,15.0,188.0,29200.0,227.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,9320804.0,9.0,15.0,99.0,188.0,21.0,0.0,11.0,8.573215,34.0,0.0,12.533334,14.54975,30.791336,2.5748851,405252.34,1055753.0,3297098.0,3.0,6092661.0,761582.6,1416982.0,3344168.0,3.0,9320679.0,665762.8,1303651.5,3297098.0,3.0,0.0,0.0,0.0,0.0,296.0,488.0,0.96558195,1.6093032,0.0,34.0,11.48,12.420145,154.26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.958333,11.0,12.533334,296.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,99.0,15.0,188.0,29200.0,227.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,79.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25316.455,79.0,0.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,12658.228,12658.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,259.0,257.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,3.0,2.0,0.0,14.0,0.0,14.0,0.0,7.0,9.899495,0.0,0.0,0.0,0.0,4666666.5,666666.7,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,0.0,666666.7,0.0,0.0,14.0,9.333333,8.082904,65.333336,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,7.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,229.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,13213812.0,22.0,33.0,2008.0,2745.0,640.0,0.0,91.27273,138.18214,976.0,0.0,83.181816,217.28574,359.69937,4.1623116,244700.22,662718.3,2464170.0,3.0,11300000.0,540354.5,956302.0,2513084.0,527.0,13200000.0,412929.53,824466.94,2464170.0,3.0,0.0,0.0,0.0,0.0,712.0,1064.0,1.6649245,2.497387,0.0,976.0,84.875,186.83966,34909.06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,86.41818,91.27273,83.181816,712.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2008.0,33.0,2745.0,29200.0,247.0,16.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,12486435.0,21.0,32.0,2008.0,2745.0,640.0,0.0,95.61905,140.04517,976.0,0.0,85.78125,220.24059,380.65308,4.244606,240123.75,653390.6,2475830.0,4.0,10800000.0,537739.5,954508.4,2532504.0,624.0,12500000.0,402786.34,811265.5,2475830.0,4.0,0.0,0.0,0.0,0.0,680.0,1032.0,1.6818252,2.562781,0.0,976.0,88.01852,189.59027,35944.473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,89.679245,95.61905,85.78125,680.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2008.0,32.0,2745.0,29200.0,247.0,16.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,41.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48780.49,41.0,0.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,24390.244,24390.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,259.0,247.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,4.0,2.0,0.0,14.0,0.0,14.0,0.0,7.0,9.899495,0.0,0.0,0.0,0.0,3500000.0,500000.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,0.0,500000.0,0.0,0.0,14.0,9.333333,8.082904,65.333336,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,7.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,229.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,9295458.0,9.0,15.0,105.0,188.0,26.0,0.0,11.666667,9.539392,34.0,0.0,12.533334,14.54975,31.520771,2.581906,404150.34,1049958.5,3294401.0,3.0,6135965.0,766995.6,1420256.4,3338353.0,3.0,9295409.0,663957.8,1296098.1,3294401.0,49.0,0.0,0.0,0.0,0.0,296.0,488.0,0.9682148,1.6136913,0.0,34.0,11.72,12.64753,159.96,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.208333,11.666667,12.533334,296.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,105.0,15.0,188.0,29200.0,227.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
